channel	date	total_viewership_hours
SAUDI CH For Sunnah HD	2024-01-04	0.31666666666666665
SPACETOON ARABIC	2024-01-02	0.06666666666666667
MBC Masr 2	2024-01-01	0.3333333333333333
MBC+ Variety HD	2024-01-03	0.05
Wanasah	2024-01-01	0.016666666666666666
Sama Dubai	2024-01-01	0.05
MBC IRAQ	2024-01-01	0.15
MBC4	2024-01-06	0.05
MBC3	2024-01-06	0.6166666666666667
GOBX Marhaba	2024-01-06	2.65
Euronews	2024-01-03	0.016666666666666666
SSC 2 HD	2024-01-04	0.05
SSC Extra 1 HD	2024-01-01	4.8
MBC Drama HD	2024-01-06	0.016666666666666666
Nile Drama	2024-01-03	0.016666666666666666
Saudi Sports 1 HD	2024-01-03	0.1
	2024-01-06	0.16666666666666666
Al Jadeed	2024-01-07	0.016666666666666666
SSC Extra 2	2024-01-03	2.4166666666666665
Asharq News Channel HD	2024-01-05	0.016666666666666666
Al Arabiya Business	2024-01-06	0.31666666666666665
SSC Extra 3 HD	2024-01-02	0.03333333333333333
MBC3	2024-01-01	0.016666666666666666
Al Nahar Drama	2024-01-03	0.03333333333333333
MBC2 HD	2024-01-03	0.26666666666666666
Al Arabiya	2024-01-04	1.55
MBC3	2024-01-02	0.03333333333333333
MBC IRAQ HD	2024-01-03	0.016666666666666666
Asharq Documentary HD	2024-01-03	0.016666666666666666
Rotana Khalijia	2024-01-01	0.016666666666666666
	2024-01-01	0.16666666666666666
MBC2 HD	2024-01-01	0.016666666666666666
MBC2 HD	2024-01-04	0.18333333333333332
Al Hadath	2024-01-05	0.016666666666666666
Libya Sport 2 HD	2024-01-04	0.016666666666666666
AlThaqafeya HD	2024-01-06	0.016666666666666666
MBC3 HD	2024-01-06	0.016666666666666666
Nile Drama	2024-01-07	0.016666666666666666
MBC1 HD	2024-01-05	0.7
SBC HD	2024-01-07	0.06666666666666667
falestinona TV	2024-01-05	0.016666666666666666
MBC IRAQ	2024-01-07	0.3
HYA	2024-01-01	0.05
Al Nahar Drama	2024-01-05	0.11666666666666667
KTV 1	2024-01-03	0.05
Shopping 3	2024-01-02	0.016666666666666666
MBC1	2024-01-04	0.8833333333333333
SSC News HD	2024-01-02	0.03333333333333333
